District,Department,Programme,Output class,Output,Item,Approved Budget for FY 2017/18 Total,Approved Budget Estimates for FY 2018/19 Wage,Approved Budget Estimates for FY 2018/19 Non Wage,Approved Budget Estimates for FY 2018/19 Gou Dev,Approved Budget Estimates for FY 2018/19 Donor,Approved Budget Estimates for FY 2018/19 Total
Kasese District,Administration,1481 Financial Management and Accountability(LG),03  Capital Purchases,148172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"1,806",0,"1,806"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,211103 Allowances,0,0,"7,722",0,0,"7,722"
Kasese District,Administration,0881 Primary Healthcare,03  Capital Purchases,088181 Staff Houses Construction and Rehabilitation,312102 Residential Buildings ,0,0,0,"15,000",0,"15,000"
Kasese District,Administration,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"8,923",0,"8,923"
Kasese District,Administration,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,311101 Land,0,0,0,900,0,900
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108117 Operation of the Community Based Services Department ,211103 Allowances,0,0,280,0,0,280
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108117 Operation of the Community Based Services Department ,211101 General Staff Salaries,0,"74,504",0,0,0,"74,504"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108117 Operation of the Community Based Services Department ,"221011 Printing, Stationery, Photocopying and ",0,0,"1,545",0,0,"1,545"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108117 Operation of the Community Based Services Department ,211103 Allowances,0,0,"1,540",0,0,"1,540"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108117 Operation of the Community Based Services Department ,"228003 Maintenance ±Machinery, Equipment  ",0,0,"12,239",0,0,"12,239"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,138112 Information collection and management ,211103 Allowances,0,0,"4,080",0,0,"4,080"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,138113 Procurement Services,221012 Small Office Equipment,0,0,"2,500",0,0,"2,500"
Kasese District,Administration,1381 District and Urban Administration,03  Capital Purchases,138172 Administrative Capital,312203 Furniture  Fixtures,0,0,0,"2,095",0,"2,095"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"4,500",0,0,"4,500"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221008 Computer supplies and Information ,0,0,"2,000",0,0,"2,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,0,0,"2,000",0,0,"2,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,"2,000",0,0,"2,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221012 Small Office Equipment,0,0,"2,000",0,0,"2,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,"2,000",0,0,"2,000"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"1,000",0,0,"1,000"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,0,0,"2,000",0,0,"2,000"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,"221007 Books, Periodicals  Newspapers",0,0,600,0,0,600
Kasese District,Administration,0181 Agricultural Extension Services,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,500,0,0,500
Kasese District,Administration,0181 Agricultural Extension Services,01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,0,0,600,0,0,600
Kasese District,Administration,0881 Primary Healthcare,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"1,840",0,0,"1,840"
Kasese District,Administration,0881 Primary Healthcare,02  Lower Local Services,088155 Standard Pit Latrine Construction (LLS.),242003 Other,0,0,"1,000",0,0,"1,000"
Kasese District,Administration,0881 Primary Healthcare,03  Capital Purchases,088180 Health Centre Construction and Rehabilitation,312101 Non-Residential Buildings ,0,0,0,"9,402",0,"9,402"
Kasese District,Administration,"0481 District, Urban and Community Access Roads",01  Higher LG Services,088180 Health Centre Construction and Rehabilitation,211103 Allowances,0,0,"1,500",0,0,"1,500"
Kasese District,Administration,0983 Natural Resources Management,01  Higher LG Services,088180 Health Centre Construction and Rehabilitation,211103 Allowances,0,0,"1,200",0,0,"1,200"
Kasese District,Administration,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"10,000",0,"10,000"
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,211103 Allowances,0,0,600,0,0,600
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108110 Support to Disabled and the Elderly ,212201 Social Security Contributions,0,0,600,0,0,600
Kasese District,Administration,1383 Local Government Planning Services,01  Higher LG Services,108110 Support to Disabled and the Elderly ,221002 Workshops and Seminars,0,0,"1,000",0,0,"1,000"
Kasese District,Administration,1383 Local Government Planning Services,01  Higher LG Services,108110 Support to Disabled and the Elderly ,221002 Workshops and Seminars,0,0,"2,000",0,0,"2,000"
Kasese District,Administration,1383 Local Government Planning Services,01  Higher LG Services,108110 Support to Disabled and the Elderly ,227001 Travel inland,0,0,"1,000",0,0,"1,000"
Kasese District,Administration,1482 Internal Audit Services,01  Higher LG Services,108110 Support to Disabled and the Elderly ,227001 Travel inland,"4,790",0,0,0,0,0
Kasese District,Administration,1482 Internal Audit Services,01  Higher LG Services,108110 Support to Disabled and the Elderly ,227001 Travel inland,0,0,"2,000",0,0,"2,000"
Kasese District,Administration,1482 Internal Audit Services,01  Higher LG Services,108110 Support to Disabled and the Elderly ,221002 Workshops and Seminars,0,0,"2,000",0,0,"2,000"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108110 Support to Disabled and the Elderly ,211101 General Staff Salaries,0,"182,314",0,0,0,"182,314"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108110 Support to Disabled and the Elderly ,211103 Allowances,0,0,480,0,0,480
Kasese District,Administration,1381 District and Urban Administration,02  Lower Local Services,138151 Lower Local Government Administration,263104 Transfers to  other govt. units (Current),0,0,"3,030",0,0,"3,030"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,138151 Lower Local Government Administration,211103 Allowances,0,0,"10,615",0,0,"10,615"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,138151 Lower Local Government Administration,221002 Workshops and Seminars,0,0,0,0,0,0
Kasese District,Administration,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,0,0,0
Kasese District,Administration,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048175 Non Standard Service Delivery Capital,312103 Roads and Bridges,0,0,0,"18,957",0,"18,957"
Kasese District,Administration,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"11,800",0,"11,800"
Kasese District,Administration,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,314202 Work in progress,0,0,0,"36,086",0,"36,086"
Kasese District,Administration,1482 Internal Audit Services,01  Higher LG Services,098375 Non Standard Service Delivery Capital,227001 Travel inland,"31,755",0,0,0,0,0
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,098375 Non Standard Service Delivery Capital,211103 Allowances,0,0,"2,539",0,0,"2,539"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,098375 Non Standard Service Delivery Capital,"221011 Printing, Stationery, Photocopying and ",0,0,0,0,0,0
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,098375 Non Standard Service Delivery Capital,"227004 Fuel, Lubricants and Oils",0,0,0,0,0,0
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,098375 Non Standard Service Delivery Capital,221002 Workshops and Seminars,0,0,"2,565",0,0,"2,565"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,098375 Non Standard Service Delivery Capital,211103 Allowances,0,0,951,0,0,951
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,098375 Non Standard Service Delivery Capital,211103 Allowances,0,0,"4,585",0,0,"4,585"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,098375 Non Standard Service Delivery Capital,227001 Travel inland,0,0,635,0,0,635
Kasese District,Administration,0181 Agricultural Extension Services,01  Higher LG Services,098375 Non Standard Service Delivery Capital,211103 Allowances,0,0,200,0,0,200
Kasese District,Administration,0181 Agricultural Extension Services,01  Higher LG Services,098375 Non Standard Service Delivery Capital,227001 Travel inland,0,0,300,0,0,300
Kasese District,Administration,0181 Agricultural Extension Services,03  Capital Purchases,018175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,200,0,200
Kasese District,Administration,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"13,462",0,"13,462"
Kasese District,Administration,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"1,500",0,"1,500"
Kasese District,Administration,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,312104 Other Structures,0,0,0,"30,362",0,"30,362"
Kasese District,Administration,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"2,804",0,"2,804"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,211103 Allowances,0,0,"2,520",0,0,"2,520"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,227001 Travel inland,0,0,"1,000",0,0,"1,000"
Kasese District,Administration,1381 District and Urban Administration,02  Lower Local Services,138151 Lower Local Government Administration,263104 Transfers to  other govt. units (Current),0,0,"1,230",0,0,"1,230"
Kasese District,Administration,1381 District and Urban Administration,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"5,526",0,"5,526"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"3,000",0,0,"3,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221007 Books, Periodicals  Newspapers",0,0,"1,732",0,0,"1,732"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,0,0,"5,000",0,0,"5,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221001 Advertising and Public Relations,0,0,"3,000",0,0,"3,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221009 Welfare and Entertainment,0,0,"2,928",0,0,"2,928"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,222001 Telecommunications,0,0,"3,072",0,0,"3,072"
Kasese District,Administration,1481 Financial Management and Accountability(LG),03  Capital Purchases,148172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,399,0,399
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,"221007 Books, Periodicals  Newspapers",0,0,"8,051",0,0,"8,051"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,221008 Computer supplies and Information ,0,0,300,0,0,300
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,227001 Travel inland,0,0,"1,200",0,0,"1,200"
Kasese District,Administration,0181 Agricultural Extension Services,03  Capital Purchases,018175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"3,000",0,"3,000"
Kasese District,Administration,0881 Primary Healthcare,01  Higher LG Services,018175 Non Standard Service Delivery Capital,211103 Allowances,0,0,150,0,0,150
Kasese District,Administration,0881 Primary Healthcare,03  Capital Purchases,088175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,750,0,750
Kasese District,Administration,0781 Pre-Primary and Primary Education,03  Capital Purchases,078181 Latrine construction and rehabilitation,312101 Non-Residential Buildings ,0,0,0,"15,000",0,"15,000"
Kasese District,Administration,0781 Pre-Primary and Primary Education,03  Capital Purchases,078183 Provision of furniture to primary schools,312203 Furniture  Fixtures,0,0,0,"15,000",0,"15,000"
Kasese District,Education,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"8,500",0,"8,500"
Kasese District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"8,723",0,"8,723"
Kasese District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"12,500",0,"12,500"
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,211103 Allowances,0,0,"3,000",0,0,"3,000"
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,0,0,"2,000",0,0,"2,000"
Kasese District,Education,1381 District and Urban Administration,02  Lower Local Services,138151 Lower Local Government Administration,263104 Transfers to  other govt. units (Current),0,0,"7,759",0,0,"7,759"
Kasese District,Education,1381 District and Urban Administration,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"5,500",0,"5,500"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,600,0,0,600
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,0,0,"1,558",0,0,"1,558"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221007 Books, Periodicals  Newspapers",0,0,700,0,0,700
Kasese District,Administration,1481 Financial Management and Accountability(LG),03  Capital Purchases,148172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"2,700",0,"2,700"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,211103 Allowances,0,0,800,0,0,800
Kasese District,Administration,0781 Pre-Primary and Primary Education,03  Capital Purchases,078183 Provision of furniture to primary schools,312203 Furniture  Fixtures,0,0,0,"24,420",0,"24,420"
Kasese District,Education,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"2,837",0,"2,837"
Kasese District,Education,0983 Natural Resources Management,01  Higher LG Services,048175 Non Standard Service Delivery Capital,211103 Allowances,0,0,"2,000",0,0,"2,000"
Kasese District,Education,0983 Natural Resources Management,01  Higher LG Services,048175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,0,0,"1,120",0,0,"1,120"
Kasese District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"11,515",0,"11,515"
Kasese District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,311101 Land,0,0,0,"1,500",0,"1,500"
Kasese District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,211103 Allowances,0,0,500,0,0,500
Kasese District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,"221007 Books, Periodicals  Newspapers",0,0,300,0,0,300
Kasese District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108110 Support to Disabled and the Elderly ,221008 Computer supplies and Information ,0,0,375,0,0,375
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108110 Support to Disabled and the Elderly ,221008 Computer supplies and Information ,0,0,"1,000",0,0,"1,000"
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108110 Support to Disabled and the Elderly ,221002 Workshops and Seminars,0,0,"1,500",0,0,"1,500"
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,138113 Procurement Services,227001 Travel inland,0,0,"2,400",0,0,"2,400"
Kasese District,Education,1381 District and Urban Administration,02  Lower Local Services,138151 Lower Local Government Administration,242003 Other,0,0,966,0,0,966
Kasese District,Education,1381 District and Urban Administration,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,963,0,963
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"227004 Fuel, Lubricants and Oils",0,0,"5,000",0,0,"5,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"1,599",0,0,"1,599"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,0,0,"1,942",0,0,"1,942"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221008 Computer supplies and Information ,0,0,0,0,0,0
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,904,0,0,904
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,"7,541",0,0,"7,541"
Kasese District,Administration,0181 Agricultural Extension Services,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,200,0,0,200
Kasese District,Administration,0881 Primary Healthcare,02  Lower Local Services,088155 Standard Pit Latrine Construction (LLS.),264101 Contributions to Autonomous Institutions,0,0,0,"4,044",0,"4,044"
Kasese District,Administration,0881 Primary Healthcare,03  Capital Purchases,088180 Health Centre Construction and Rehabilitation,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"15,000",0,"15,000"
Kasese District,Administration,0881 Primary Healthcare,03  Capital Purchases,088181 Staff Houses Construction and Rehabilitation,312102 Residential Buildings ,0,0,0,"15,000",0,"15,000"
Kasese District,Administration,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,312104 Other Structures,0,0,0,"30,074",0,"30,074"
Kasese District,Administration,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"5,381",0,"5,381"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221009 Welfare and Entertainment,0,0,"1,622",0,0,"1,622"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,138113 Procurement Services,221002 Workshops and Seminars,0,0,"1,650",0,0,"1,650"
Kasese District,Administration,1381 District and Urban Administration,02  Lower Local Services,138151 Lower Local Government Administration,263104 Transfers to  other govt. units (Current),0,0,"4,078",0,0,"4,078"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,211103 Allowances,0,0,"1,942",0,0,"1,942"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,"221011 Printing, Stationery, Photocopying and ",0,0,"1,000",0,0,"1,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,"221007 Books, Periodicals  Newspapers",0,0,336,0,0,336
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,227001 Travel inland,0,0,"2,942",0,0,"2,942"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,138151 Lower Local Government Administration,211103 Allowances,0,0,"9,843",0,0,"9,843"
Kasese District,Administration,0181 Agricultural Extension Services,01  Higher LG Services,138151 Lower Local Government Administration,211103 Allowances,0,0,950,0,0,950
Kasese District,Administration,0181 Agricultural Extension Services,03  Capital Purchases,018175 Non Standard Service Delivery Capital,281501 Environment Impact Assessment for ,0,0,0,950,0,950
Kasese District,Administration,0181 Agricultural Extension Services,03  Capital Purchases,018175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,207,0,207
Kasese District,Administration,0781 Pre-Primary and Primary Education,03  Capital Purchases,078175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"8,000",0,"8,000"
Kasese District,Administration,0781 Pre-Primary and Primary Education,03  Capital Purchases,078181 Latrine construction and rehabilitation,312101 Non-Residential Buildings ,0,0,0,"10,000",0,"10,000"
Kasese District,Administration,0781 Pre-Primary and Primary Education,03  Capital Purchases,078182 Teacher house construction and rehabilitation,312102 Residential Buildings ,0,0,0,"10,000",0,"10,000"
Kasese District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,312104 Other Structures,0,0,0,"47,716",0,"47,716"
Kasese District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"13,930",0,"13,930"
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,0,0,"1,500",0,0,"1,500"
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,211103 Allowances,0,0,"1,200",0,0,"1,200"
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,138113 Procurement Services,"221011 Printing, Stationery, Photocopying and ",0,0,"1,678",0,0,"1,678"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138113 Procurement Services,211103 Allowances,0,0,"4,630",0,0,"4,630"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138113 Procurement Services,"227004 Fuel, Lubricants and Oils",0,0,"5,921",0,0,"5,921"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,138113 Procurement Services,211103 Allowances,0,0,"3,643",0,0,"3,643"
Kasese District,Administration,0181 Agricultural Extension Services,01  Higher LG Services,138113 Procurement Services,211103 Allowances,0,0,500,0,0,500
Kasese District,Administration,0181 Agricultural Extension Services,01  Higher LG Services,138113 Procurement Services,221002 Workshops and Seminars,0,0,500,0,0,500
Kasese District,Administration,0881 Primary Healthcare,01  Higher LG Services,138113 Procurement Services,211103 Allowances,0,0,150,0,0,150
Kasese District,Administration,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048180 Rural roads construction and rehabilitation,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"25,974",0,"25,974"
Kasese District,Administration,0983 Natural Resources Management,01  Higher LG Services,048180 Rural roads construction and rehabilitation,211103 Allowances,0,0,200,0,0,200
Kasese District,Administration,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"27,500",0,"27,500"
Kasese District,Administration,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,311101 Land,0,0,0,990,0,990
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108117 Operation of the Community Based Services Department ,211103 Allowances,0,0,750,0,0,750
Kasese District,Administration,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"6,000",0,"6,000"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,227001 Travel inland,0,0,64,0,0,64
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"221011 Printing, Stationery, Photocopying and ",0,0,800,0,0,800
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"228003 Maintenance ±Machinery, Equipment  ",0,0,300,0,0,300
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,138112 Information collection and management ,211103 Allowances,0,0,300,0,0,300
Kasese District,Administration,1381 District and Urban Administration,02  Lower Local Services,138151 Lower Local Government Administration,242003 Other,0,0,"1,332",0,0,"1,332"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,211103 Allowances,0,0,"2,300",0,0,"2,300"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,"221011 Printing, Stationery, Photocopying and ",0,0,"1,300",0,0,"1,300"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,221002 Workshops and Seminars,0,0,"3,992",0,0,"3,992"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,227001 Travel inland,0,0,"6,000",0,0,"6,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,"221007 Books, Periodicals  Newspapers",0,0,627,0,0,627
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,221008 Computer supplies and Information ,0,0,"1,500",0,0,"1,500"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,221009 Welfare and Entertainment,0,0,"1,000",0,0,"1,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,"228003 Maintenance ±Machinery, Equipment  ",0,0,800,0,0,800
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138151 Lower Local Government Administration,224004 Cleaning and Sanitation,0,0,"3,000",0,0,"3,000"
Kasese District,Administration,0181 Agricultural Extension Services,01  Higher LG Services,138151 Lower Local Government Administration,221002 Workshops and Seminars,0,0,400,0,0,400
Kasese District,Administration,0181 Agricultural Extension Services,03  Capital Purchases,018175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"3,400",0,"3,400"
Kasese District,Administration,0881 Primary Healthcare,03  Capital Purchases,088175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"2,650",0,"2,650"
Kasese District,Administration,0781 Pre-Primary and Primary Education,03  Capital Purchases,078175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,575,0,575
Kasese District,Education,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"30,620",0,"30,620"
Kasese District,Education,0983 Natural Resources Management,01  Higher LG Services,048175 Non Standard Service Delivery Capital,211103 Allowances,0,0,100,0,0,100
Kasese District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,700,0,700
